Width,Color,Steering_angle_difference
5.00,238.00,1.23
5.00,239.00,1.09
5.00,240.00,1.09
5.00,241.00,1.09
5.00,242.00,0.88
5.00,243.00,1.51
5.00,244.00,1.00
5.00,245.00,1.17
5.00,246.00,0.83
5.00,247.00,1.09
5.00,248.00,0.57
5.00,249.00,0.92
5.00,250.00,0.91
5.00,251.00,0.85
5.00,252.00,0.62
5.00,253.00,0.88
5.00,254.00,0.80
6.00,0.00,27.44
6.00,1.00,28.34
6.00,2.00,28.59
6.00,3.00,28.60
6.00,4.00,28.86
6.00,5.00,28.11
6.00,6.00,28.12
6.00,7.00,28.60
6.00,8.00,28.09
6.00,9.00,28.97
6.00,10.00,28.37
6.00,11.00,27.98
6.00,12.00,28.89
6.00,13.00,27.81
6.00,14.00,27.21
6.00,15.00,27.81
6.00,16.00,27.85
6.00,17.00,27.70
6.00,18.00,28.72
6.00,19.00,28.90
6.00,20.00,29.33
6.00,21.00,28.42
6.00,22.00,27.97
6.00,23.00,28.00
6.00,24.00,28.87
6.00,25.00,31.67
6.00,26.00,26.43
6.00,27.00,28.54
6.00,28.00,29.23
6.00,29.00,27.65
6.00,30.00,27.31
6.00,31.00,28.42
6.00,32.00,9.78
6.00,33.00,26.69
6.00,34.00,18.05
6.00,35.00,27.29
6.00,36.00,20.79
6.00,37.00,10.30
6.00,38.00,19.00
6.00,39.00,7.88
6.00,40.00,3.96
6.00,41.00,10.45
6.00,42.00,29.37
6.00,43.00,12.94
6.00,44.00,11.88
6.00,45.00,-1.18
6.00,46.00,-1.39
6.00,47.00,-1.54
6.00,48.00,-1.88
6.00,49.00,-1.30
6.00,50.00,-1.43
6.00,51.00,-3.16
6.00,52.00,-1.67
6.00,53.00,-1.60
6.00,54.00,-1.64
6.00,55.00,-0.96
6.00,56.00,-1.60
6.00,57.00,-0.82
6.00,58.00,-0.14
6.00,59.00,-1.92
6.00,60.00,-1.76
6.00,61.00,-1.88
6.00,62.00,-1.73
6.00,63.00,-1.87
6.00,64.00,-2.01
6.00,65.00,-2.12
6.00,66.00,-1.83
6.00,67.00,-1.65
6.00,68.00,-2.03
6.00,69.00,-2.33
6.00,70.00,-1.90
6.00,71.00,-1.54
6.00,72.00,-2.02
6.00,73.00,-2.37
6.00,74.00,-2.64
6.00,75.00,-1.08
6.00,76.00,-1.11
6.00,77.00,-1.42
6.00,78.00,-0.86
6.00,79.00,-1.95
6.00,80.00,-1.00
6.00,81.00,-1.71
6.00,82.00,-0.83
6.00,83.00,-1.44
6.00,84.00,-1.17
6.00,85.00,-0.84
6.00,86.00,-1.30
6.00,87.00,-0.85
6.00,88.00,-0.50
6.00,89.00,-0.93
6.00,90.00,-0.49
6.00,91.00,-0.50
6.00,92.00,-0.49
6.00,93.00,-0.41
6.00,94.00,-0.68
6.00,95.00,-0.46
6.00,96.00,-0.60
6.00,97.00,-0.70
6.00,98.00,-0.67
6.00,99.00,-0.39
6.00,100.00,-0.39
6.00,101.00,-0.08
